mosi,miso
,
0xFF,0x7F
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
,
,
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x95,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0xFF
0x48,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0xAA,0xFF
0x87,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0x00
0xFF,0x00
0xFF,0x01
0xFF,0xAA
0xFF,0xFF
0x7B,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0x83,0xFF
0xFF,0xFF
0xFF,0x01
0x77,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x65,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0xFF
0x69,0xFF
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x77,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0xFF
0x77,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x65,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0xFF
0x69,0xFF
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x77,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0xFF
0x7A,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xFD,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0xC0
0xFF,0xFF
0xFF,0x80
0xFF,0x00
0xFF,0xFF
0x49,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0xAF,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0xFF
0xFF,0xFE
0xFF,0x40
0xFF,0x0E
0xFF,0x00
0xFF,0x32
0xFF,0x5B
0xFF,0x59
0xFF,0x00
0xFF,0x00
0xFF,0x3B
0xFF,0x3D
0xFF,0x7F
0xFF,0x80
0xFF,0x0A
0xFF,0x40
0xFF,0x00
0xFF,0x19
0xFF,0x24
0xFF,0xB1
0xFF,0xFF
0x4A,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x1B,0xFF
0xFF,0xFF
0xFF,0x00
0xFF,0xFF
0xFF,0xFE
0xFF,0x82
0xFF,0x4A
0xFF,0x54
0xFF,0x4E
0xFF,0x43
0xFF,0x61
0xFF,0x72
0xFF,0x64
0xFF,0x10
0xFF,0xE4
0xFF,0x01
0xFF,0xCC
0xFF,0x91
0xFF,0x00
0xFF,0xE1
0xFF,0x2B
0xFF,0x52
0xFF,0x7A
0xFF,0xFF
,
,
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
0xFF,0xFF
,
,
0x40,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x00,0xFF
0x95,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0xFF
0x48,0xFF
0x00,0xFF
0x00,0xFF
0x01,0xFF
0xAA,0xFF
0x87,0xFF
0xFF,0xFF
0xFF,0x01
0xFF,0x00
0xFF,0x00
0xFF,0x01
0xFF,0xAA
0xFF,0xFF
0x7B,0xFF
0x00,0xFF
